attribute_name,attribute_value,k,model_id,score_threshold,tpr,tnr,for,fdr,fpr,fnr,npv,precision,pp,pn,ppr,pprev,fp,fn,tn,tp,group_label_neg,group_label_pos,group_size,total_entities,prev,label_value_significance,score_significance,fdr_disparity,fdr_ref_group_value,fdr_significance,fnr_disparity,fnr_ref_group_value,fnr_significance,for_disparity,for_ref_group_value,for_significance,fpr_disparity,fpr_ref_group_value,fpr_significance,npv_disparity,npv_ref_group_value,npv_significance,ppr_disparity,ppr_ref_group_value,ppr_significance,pprev_disparity,pprev_ref_group_value,pprev_significance,precision_disparity,precision_ref_group_value,precision_significance,tnr_disparity,tnr_ref_group_value,tnr_significance,tpr_disparity,tpr_ref_group_value,tpr_significance,Statistical Parity,Impact Parity,FDR Parity,FPR Parity,FOR Parity,FNR Parity,TPR Parity,Precision Parity,TypeI Parity,TypeII Parity,Equalized Odds,Unsupervised Fairness,Supervised Fairness,group_size_pct
Unnamed: 0,0.00-1803.25,1440,1,binary 0/1,0.31958762886597936,0.8929961089494164,0.3651452282157676,0.30726256983240224,0.10700389105058365,0.6804123711340206,0.6348547717842323,0.6927374301675978,358,1446,0.24861111111111112,0.1984478935698448,110,528,918,248,1028,776,1804,7214,0.43015521064301554,False,False,1.0,0.00-1803.25,False,1.0,0.00-1803.25,False,1.0,0.00-1803.25,False,1.0,0.00-1803.25,False,1.0,0.00-1803.25,False,1.0,0.00-1803.25,False,1.0,0.00-1803.25,False,1.0,0.00-1803.25,False,1.0,0.00-1803.25,False,1.0,0.00-1803.25,False,True,True,True,True,True,True,True,True,True,True,True,True,True,0.25006930967563074
Unnamed: 0,1803.25-3606.50,1440,1,binary 0/1,0.33293124246079614,0.8798767967145791,0.3921985815602837,0.29770992366412213,0.12012320328542095,0.6670687575392038,0.6078014184397164,0.7022900763358778,393,1410,0.27291666666666664,0.21797004991680533,117,553,857,276,974,829,1803,7214,0.4597892401552967,False,False,0.9689104788341429,0.00-1803.25,False,0.9803889315348904,0.00-1803.25,False,1.0740892972275953,0.00-1803.25,False,1.1226059361582976,0.00-1803.25,False,0.9573865479998147,0.00-1803.25,False,1.0977653631284916,0.00-1803.25,False,1.0983742180165275,0.00-1803.25,False,1.0137897069687267,0.00-1803.25,False,0.9853086568873499,0.00-1803.25,False,1.0417525973773298,0.00-1803.25,False,True,True,True,True,True,True,True,True,True,True,True,True,True,0.2499306903243693
Unnamed: 0,3606.50-5409.75,1440,1,binary 0/1,0.313180169286578,0.9098360655737705,0.3901098901098901,0.25360230547550433,0.09016393442622951,0.686819830713422,0.6098901098901099,0.7463976945244957,347,1456,0.24097222222222223,0.19245701608430393,88,568,888,259,976,827,1803,7214,0.45867997781475317,False,False,0.8253602305475505,0.00-1803.25,False,1.009417023927302,0.00-1803.25,False,1.068369130869131,0.00-1803.25,False,0.8426229508196722,0.00-1803.25,False,0.9606765783236373,0.00-1803.25,False,0.9692737430167597,0.00-1803.25,False,0.9698113324471628,0.00-1803.25,False,1.0774611880635865,0.00-1803.25,False,1.018857816350584,0.00-1803.25,False,0.9799508522838086,0.00-1803.25,False,True,True,True,True,True,True,True,True,True,True,True,True,True,0.2499306903243693
Unnamed: 0,5409.75-7213.00,1440,1,binary 0/1,0.29914529914529914,0.9015228426395939,0.39261285909712723,0.28362573099415206,0.09847715736040609,0.7008547008547008,0.6073871409028728,0.716374269005848,342,1462,0.2375,0.18957871396895787,97,574,888,245,985,819,1804,7214,0.4539911308203991,False,False,0.9230728335991494,0.00-1803.25,False,1.03004403004403,0.00-1803.25,False,1.0752238527546325,0.00-1803.25,False,0.9203137978772497,0.00-1803.25,False,0.9567339931868781,0.00-1803.25,False,0.9553072625698323,0.00-1803.25,False,0.9553072625698323,0.00-1803.25,False,1.0341209205810225,0.00-1803.25,False,1.0095484555920506,0.00-1803.25,False,0.9360352908740006,0.00-1803.25,False,True,True,True,True,True,True,True,True,True,True,True,True,True,0.25006930967563074
sex,Female,1440,1,binary 0/1,0.2389558232931727,0.9186176142697882,0.31504571903574397,0.3802083333333333,0.08138238573021182,0.7610441767068273,0.684954280964256,0.6197916666666666,192,1203,0.13333333333333333,0.13763440860215054,73,379,824,119,897,498,1395,7214,0.35698924731182796,True,True,1.3997050147492627,Male,True,1.1362009861572102,Male,True,0.7809511831412069,Male,True,0.7360424620909424,Male,True,1.1481210188073394,Male,True,0.15384615384615383,Male,True,0.6417424869037772,Male,True,0.8509350935093509,Male,True,1.032813203282424,Male,True,0.7237022899077056,Male,True,False,False,False,False,False,True,False,True,False,False,False,False,False,0.19337399500970334
sex,Male,1440,1,binary 0/1,0.3301852524518707,0.8894324853228963,0.4034128199518705,0.27163461538461536,0.11056751467710371,0.6698147475481293,0.5965871800481295,0.7283653846153846,1248,4571,0.8666666666666667,0.21446984017872486,339,1844,2727,909,3066,2753,5819,7214,0.4731053445609211,False,False,1.0,Male,False,1.0,Male,False,1.0,Male,False,1.0,Male,False,1.0,Male,False,1.0,Male,False,1.0,Male,False,1.0,Male,False,1.0,Male,False,1.0,Male,False,True,True,True,True,True,True,True,True,True,True,True,True,True,0.8066260049902967
age_cat,25 - 45,1440,1,binary 0/1,0.3197458973001588,0.8918918918918919,0.39356814701378257,0.2843601895734597,0.10810810810810811,0.6802541026998412,0.6064318529862175,0.7156398104265402,844,3265,0.5861111111111111,0.20540277439766366,240,1285,1980,604,2220,1889,4109,7214,0.4597225602336335,False,False,1.0,25 - 45,False,1.0,25 - 45,False,1.0,25 - 45,False,1.0,25 - 45,False,1.0,25 - 45,False,1.0,25 - 45,False,1.0,25 - 45,False,1.0,25 - 45,False,1.0,25 - 45,False,1.0,25 - 45,False,True,True,True,True,True,True,True,True,True,True,True,True,True,0.5695869143332409
age_cat,Greater than 45,1440,1,binary 0/1,0.16666666666666666,0.9545454545454546,0.2873961218836565,0.3712121212121212,0.045454545454545456,0.8333333333333334,0.7126038781163435,0.6287878787878788,132,1444,0.09166666666666666,0.08375634517766498,49,415,1029,83,1078,498,1576,7214,0.315989847715736,True,True,1.305429292929293,25 - 45,False,1.2250324254215306,25 - 45,True,0.7302321696110026,25 - 45,True,0.42045454545454547,25 - 45,False,1.1750765969948795,25 - 45,True,0.15639810426540282,25 - 45,True,0.4077663771742007,25 - 45,True,0.8786373670479631,25 - 45,False,1.0702479338842976,25 - 45,False,0.5212472406181016,25 - 45,True,False,False,False,False,False,True,False,True,False,False,False,False,False,0.2184640975880233
age_cat,Less than 25,1440,1,binary 0/1,0.39467592592592593,0.8150375939849624,0.49107981220657276,0.2650862068965517,0.1849624060150376,0.6053240740740741,0.5089201877934272,0.7349137931034483,464,1065,0.32222222222222224,0.30346631785480704,123,523,542,341,665,864,1529,7214,0.5650752125572269,True,True,0.9322198275862069,25 - 45,False,0.8898499423548061,25 - 45,True,1.2477631026104747,25 - 45,True,1.7109022556390978,25 - 45,False,0.8392042490634039,25 - 45,True,0.5497630331753555,25 - 45,True,1.477420734674647,25 - 45,True,1.0269325188399179,25 - 45,False,0.9138300296195033,25 - 45,False,1.2343424239636989,25 - 45,True,False,False,True,False,True,True,True,True,False,True,False,False,False,0.2119489880787358
race,African-American,1440,1,binary 0/1,0.3976854287217254,0.8401114206128134,0.43158688277421786,0.2751677852348993,0.15988857938718662,0.6023145712782746,0.5684131172257821,0.7248322147651006,1043,2653,0.7243055555555555,0.2821969696969697,287,1145,1508,756,1795,1901,3696,7214,0.5143398268398268,False,False,1.0,African-American,False,1.0,African-American,False,1.0,African-American,False,1.0,African-American,False,1.0,African-American,False,1.0,African-American,False,1.0,African-American,False,1.0,African-American,False,1.0,African-American,False,1.0,African-American,False,True,True,True,True,True,True,True,True,True,True,True,True,True,0.5123371222622678
race,Asian,1440,1,binary 0/1,0.2222222222222222,0.9565217391304348,0.2413793103448276,0.3333333333333333,0.043478260869565216,0.7777777777777778,0.7586206896551724,0.6666666666666666,3,29,0.0020833333333333333,0.09375,1,7,22,2,23,9,32,7214,0.28125,True,True,1.2113821138211383,African-American,False,1.291314895681708,African-American,True,0.559283240475832,African-American,True,0.27192849568247235,African-American,False,1.3346291045458702,African-American,True,0.0028763183125599234,African-American,True,0.3322147651006711,African-American,True,0.9197530864197531,African-American,False,1.1385653327182563,African-American,False,0.5587889476778365,African-American,True,False,False,True,False,False,False,False,True,False,False,False,False,False,0.004435819240365955
race,Caucasian,1440,1,binary 0/1,0.21014492753623187,0.9422043010752689,0.3524249422632795,0.2975778546712803,0.05779569892473118,0.7898550724637681,0.6475750577367205,0.7024221453287197,289,2165,0.20069444444444445,0.11776691116544417,86,763,1402,203,1488,966,2454,7214,0.39364303178484106,True,True,1.081441471854165,African-American,False,1.311366369217138,African-American,True,0.8165793640388476,African-American,True,0.36147484170694244,African-American,False,1.1392683210712995,African-American,True,0.27708533077660596,African-American,True,0.4173216717809028,African-American,True,0.9690824042035115,African-American,False,1.1215230241578962,African-American,False,0.5284199831301281,African-American,True,False,False,True,False,True,False,False,True,False,False,False,False,False,0.3401718879955642
race,Hispanic,1440,1,binary 0/1,0.17672413793103448,0.9234567901234568,0.3380530973451327,0.4305555555555556,0.07654320987654321,0.8232758620689655,0.6619469026548672,0.5694444444444444,72,565,0.05,0.1130298273155416,31,191,374,41,405,232,637,7214,0.3642072213500785,True,True,1.5647018970189703,African-American,True,1.366853636500527,African-American,True,0.7832793600494647,African-American,True,0.4787284380780316,African-American,True,1.164552475294007,African-American,True,0.06903163950143816,African-American,True,0.40053522699735544,African-American,True,0.7856224279835391,African-American,True,1.0992075187477486,African-American,True,0.44438172778690016,African-American,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0883005267535348
race,Native American,1440,1,binary 0/1,0.5,0.875,0.4166666666666667,0.16666666666666666,0.125,0.5,0.5833333333333334,0.8333333333333334,6,12,0.004166666666666667,0.3333333333333333,1,5,7,5,8,10,18,7214,0.5555555555555556,False,False,0.6056910569105691,African-American,False,0.8301310043668122,African-American,False,0.9654294032023291,African-American,False,0.7817944250871081,African-American,False,1.0262488947833777,African-American,False,0.005752636625119847,African-American,False,1.181208053691275,African-American,False,1.1496913580246915,African-American,False,1.0415285145888593,African-American,False,1.2572751322751323,African-American,False,False,True,False,False,True,True,False,True,False,True,False,False,False,0.00249514832270585
race,Other,1440,1,binary 0/1,0.15789473684210525,0.9754098360655737,0.32,0.2222222222222222,0.02459016393442623,0.8421052631578947,0.68,0.7777777777777778,27,350,0.01875,0.07161803713527852,6,112,238,21,244,133,377,7214,0.35278514588859416,True,True,0.8075880758807588,African-American,False,1.3981153757756837,African-American,True,0.7414497816593887,African-American,True,0.15379562460729995,African-American,False,1.1963129973474802,African-American,True,0.02588686481303931,African-American,True,0.2537874067612554,African-American,True,1.073045267489712,African-American,False,1.161048180197417,African-American,False,0.3970342522974102,African-American,True,False,False,True,False,False,False,False,True,False,False,False,False,False,0.05225949542556141
